onset	 duration	 weight	 trial_type
-79.90	 1	 1	 Key1
-67.39	 1	 1	 Key2
-64.36	 1	 1	 Key3
-45.23	 1	 1	 Key4
-41.36	 1	 1	 Key5
-29.64	 1	 1	 Key6
-22.50	 1	 1	 Key7
0.41	 1	 1	 Key8
4.03	 360	 1	 BIT
5.05	 1	 1	 Key9
9.91	 1	 1	 Key10
14.84	 1	 1	 Key11
22.03	 1	 1	 Key12
30.62	 1	 1	 Key13
49.87	 1	 1	 Key14
83.30	 1	 1	 Key15
89.31	 1	 1	 Key16
95.09	 1	 1	 Key17
109.08	 1	 1	 Key18
120.61	 1	 1	 Key19
135.37	 1	 1	 Key20
140.90	 1	 1	 Key21
173.83	 1	 1	 Key22
229.31	 1	 1	 Key23
240.34	 1	 1	 Key24
244.84	 1	 1	 Key25
248.73	 1	 1	 Key26
330.18	 1	 1	 Key27
345.30	 1	 1	 Key28
