onset	 duration	 weight	 trial_type
-156.28	 1	 1	 Key1
4.02	 300	 1	 Rs7
304.65	 3	 1	 Fx
308.22	 4	 1	 Re1
312.23	 300	 1	 Rs8
612.85	 3	 1	 Fx
616.41	 4	 1	 Re2
620.43	 300	 1	 Rs9
921.04	 3	 1	 Fx
921.39	 1	 1	 Key2
924.61	 4	 1	 Re3
928.62	 300	 1	 Rs10
