onset	 duration	 weight	 trial_type
-53.19	 1	 1	 Key1
-48.68	 1	 1	 Key2
-33.50	 1	 1	 Key3
-14.00	 1	 1	 Key4
1.26	 1	 1	 Key5
4.02	 360	 1	 BIT
20.56	 1	 1	 Key6
34.72	 1	 1	 Key7
36.37	 1	 1	 Key8
65.77	 1	 1	 Key9
68.67	 1	 1	 Key10
91.18	 1	 1	 Key11
122.20	 1	 1	 Key12
125.77	 1	 1	 Key13
134.80	 1	 1	 Key14
155.13	 1	 1	 Key15
179.99	 1	 1	 Key16
191.35	 1	 1	 Key17
210.20	 1	 1	 Key18
240.76	 1	 1	 Key19
243.81	 1	 1	 Key20
291.45	 1	 1	 Key21
347.78	 1	 1	 Key22
352.85	 1	 1	 Key23
