onset	 duration	 weight	 trial_type
-63.14	 1	 1	 Key1
-59.18	 1	 1	 Key2
-52.28	 1	 1	 Key3
-45.45	 1	 1	 Key4
-37.53	 1	 1	 Key5
-34.82	 1	 1	 Key6
-20.87	 1	 1	 Key7
-4.01	 1	 1	 Key8
4.03	 360	 1	 BIT
9.11	 1	 1	 Key9
27.34	 1	 1	 Key10
29.81	 1	 1	 Key11
36.76	 1	 1	 Key12
39.36	 1	 1	 Key13
40.44	 1	 1	 Key14
54.20	 1	 1	 Key15
62.00	 1	 1	 Key16
64.29	 1	 1	 Key17
77.70	 1	 1	 Key18
84.06	 1	 1	 Key19
85.54	 1	 1	 Key20
104.48	 1	 1	 Key21
107.05	 1	 1	 Key22
109.65	 1	 1	 Key23
117.38	 1	 1	 Key24
122.69	 1	 1	 Key25
129.83	 1	 1	 Key26
155.53	 1	 1	 Key27
167.15	 1	 1	 Key28
174.39	 1	 1	 Key29
196.41	 1	 1	 Key30
217.77	 1	 1	 Key31
219.69	 1	 1	 Key32
226.52	 1	 1	 Key33
232.03	 1	 1	 Key34
233.29	 1	 1	 Key35
261.77	 1	 1	 Key36
265.03	 1	 1	 Key37
284.39	 1	 1	 Key38
295.71	 1	 1	 Key39
299.74	 1	 1	 Key40
306.43	 1	 1	 Key41
308.92	 1	 1	 Key42
311.16	 1	 1	 Key43
321.62	 1	 1	 Key44
333.70	 1	 1	 Key45
337.64	 1	 1	 Key46
345.35	 1	 1	 Key47
353.55	 1	 1	 Key48
