onset	 duration	 weight	 trial_type
-276.25	 1	 1	 Key1
4.02	 300	 1	 Rs0
304.66	 3	 1	 Fx
308.27	 65	 1	 En1
373.30	 300	 1	 Rs1
673.54	 3	 1	 Fx
677.15	 62	 1	 En2
738.73	 300	 1	 Rs2
1038.86	 3	 1	 Fx
1042.48	 68	 1	 En3
1110.58	 300	 1	 Rs3
1411.33	 3	 1	 Fx
1414.94	 52	 1	 En4
1466.76	 300	 1	 Rs4
1767.14	 3	 1	 Fx
1770.76	 59	 1	 En5
1829.74	 300	 1	 Rs5
2130.08	 3	 1	 Fx
2133.70	 54	 1	 En6
2187.26	 300	 1	 Rs6
308.3	 19	 1	 A1A2
333.3	 13	 1	 A5A6
346.3	 4	 1	 A7A11
368.3	 4	 1	 A7A11
352.3	 16	 1	 A9A10
681.2	 15	 1	 C2
698.2	 6	 1	 C4
1051.5	 29	 1	 B2B3
1094.5	 16	 1	 B6B7B8
1414.9	 4	 1	 E1
1418.9	 6	 1	 E2E3E4E5E6
1451.9	 4	 1	 E20
1770.8	 39	 1	 D1D2
1809.8	 19	 1	 D3D4
2149.7	 2	 1	 F6
2153.7	 7	 1	 F9F10
2163.7	 10	 1	 F12
